FileName,Autor,Categoria,GPSLatitude,GPSLongitude,GPSAltitude,GPSImgDirection,CreateDate,Especie_tentativa,Confianza_ID,Estatus_nativo_SG,Clima_referencia
JANELLE_V2_IMG_5744.MOV,Janelle,biotic,"1 deg 20' 19.68"" N","103 deg 52' 26.76"" E",21.883 m,,2026:09:05 05:57:06,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8401.HEIC,Daniela,biotic,"1 deg 20' 19.52"" N","103 deg 52' 22.09"" E",22.7 m Above Sea Level,166.9786682,2026:09:05 14:26:49,sin fauna en foco,Baja,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8334.HEIC,Daniela,biotic,"1 deg 20' 24.26"" N","103 deg 52' 24.84"" E",39.6 m Above Sea Level,302.7345886,2026:09:05 11:23:07,helechos genericos,Baja,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5668.JPG,Janelle,biotic,"1 deg 20' 19.54"" N","103 deg 52' 24.40"" E",19.1 m Above Sea Level,258.5543213,2026:09:05 10:49:22,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5682.JPG,Janelle,biotic,"1 deg 20' 17.16"" N","103 deg 52' 26.87"" E",18 m Above Sea Level,124.8577499,2026:09:05 11:00:04,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V2_IMG_5757.MOV,Janelle,biotic,"1 deg 20' 19.68"" N","103 deg 52' 27.12"" E",26.751 m,,2026:09:05 05:59:00,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8318.HEIC,Daniela,biotic,"1 deg 20' 17.32"" N","103 deg 52' 26.81"" E",23.9 m Above Sea Level,82.34732053,2026:09:05 10:58:59,Cheilocostus speciosus (jengibre crespo),Media,NATIVA (Critically Endangered),"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8396.HEIC,Daniela,biotic,"1 deg 20' 20.16"" N","103 deg 52' 22.50"" E",21.1 m Above Sea Level,77.46129613,2026:09:05 14:20:24,Antigonon leptopus,Alta,No nativa (Mexico),"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8379.HEIC,Daniela,biotic,"1 deg 20' 19.92"" N","103 deg 52' 25.30"" E",18.6 m Above Sea Level,262.2755432,2026:09:05 14:06:17,Lepironia articulata,Baja-Media,"NATIVA (Critically Endangered, redescubierta 2014)","5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8400.HEIC,Daniela,biotic,"1 deg 20' 19.42"" N","103 deg 52' 22.01"" E",15.3 m Above Sea Level,55.31787869,2026:09:05 14:25:47,sin fauna en foco,Baja,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V2_IMG_5741.JPEG,Janelle,biotic,"1 deg 20' 19.85"" N","103 deg 52' 26.84"" E",21.8 m Above Sea Level,,2026:09:05 13:57:17,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V2_IMG_5836.JPG,Janelle,biotic,"1 deg 20' 21.10"" N","103 deg 52' 25.72"" E",21.6 m Above Sea Level,264.0700378,2026:09:05 14:30:48,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8333.HEIC,Daniela,biotic,"1 deg 20' 23.51"" N","103 deg 52' 25.99"" E",8 m Above Sea Level,14.1231327,2026:09:05 11:21:11,sin especie identificable (dosel),Baja,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V2_IMG_5835.JPG,Janelle,biotic,"1 deg 20' 21.10"" N","103 deg 52' 25.72"" E",21.4 m Above Sea Level,263.8522034,2026:09:05 14:30:47,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
